method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,confidence,uec,ece_iou50,n_rows,n_samples
safeobj_det,clean,5,5,0.3281870485034333,0.2612217113845248,0.294704379943979,0.8343313373253493,0.0627316794981465,0.0079840319361277,0.1220416310236669,0.0039096493535706,0.0,0.978955615168458,,0.7334466756053007,3507,3507
safeobj_det,frame_drop,5,all,0.3616993568454007,0.2920909833063453,0.326895170075873,0.848018249215854,0.0655260906757912,0.0051325919589392,0.1218135158254918,0.0040835349628544,0.0,0.9818327045386288,,0.6709687106997532,17535,3507
safeobj_det,frame_drop,5,1,0.3948063811638169,0.3237317472812322,0.3592690642225246,0.8625605930995153,0.0650128314798973,0.0022811519817507,0.1171941830624465,0.0040835349628544,0.0,0.984568514917731,,0.6036161892020468,3507,3507
safeobj_det,frame_drop,5,2,0.3780913826850866,0.3070064395923381,0.3425489111387123,0.8548617051611064,0.06928999144568,0.003706871970345,0.1132021670943826,0.0040835349628544,0.0,0.9832219930330096,,0.6433303372996603,3507,3507
safeobj_det,frame_drop,5,3,0.3608562122256057,0.2913365029959721,0.3260963576107888,0.8465925292272598,0.0647276874821785,0.0051325919589392,0.1203307670373538,0.0040835349628544,0.0,0.9819002226441206,,0.6785069777648063,3507,3507
safeobj_det,frame_drop,5,4,0.3447572092556513,0.2757668329822263,0.3102620211189388,0.8414599372683205,0.0635871114913031,0.0065583119475335,0.1283147989734816,0.0040835349628544,0.0,0.9804804975197192,,0.703320553916657,3507,3507
safeobj_det,frame_drop,5,5,0.3299855988968431,0.2626133936799576,0.2962994962884003,0.8346164813230682,0.0650128314798973,0.0079840319361277,0.1300256629597947,0.0040835349628544,0.0,0.9789922945785632,,0.7260695418843796,3507,3507
safeobj_det,occlusion,5,all,0.3555453351648059,0.2933876488182331,0.3244664919915195,0.8445965212432278,0.0672939834616481,0.0050185343598517,0.1235814086113487,0.0040732435010743,0.0,0.9831961186618114,,0.6905242793506321,17535,3507
safeobj_det,occlusion,5,1,0.3898271860771296,0.3265489534370957,0.3581880697571127,0.8608497291132021,0.0704305674365554,0.0019960079840319,0.1280296549757627,0.0040732435010743,0.0,0.9858188785682692,,0.6188385475385484,3507,3507
safeobj_det,occlusion,5,2,0.3720602740251998,0.3085602588129707,0.3403102664190853,0.8528656971770744,0.0715711434274308,0.003706871970345,0.1226119190191046,0.0040732435010743,0.0,0.9845283680197382,,0.661460222309391,3507,3507
