method,stress,jf,ops,vanish,hallucination,split,mce,uec,ece_iou50
object_token_no_geom,frame_drop,0.1172954917686962,0.4200171086398631,0.4201881950384944,0.0051325919589392,0.2107214143142287,0.0082648701097807,-0.2568460585092326,0.8943093444025003
safeobjworld_r_full,lowlight,0.5414539040812598,0.9143079800498752,0.0405236907730673,0.006857855361596,0.2729426433915212,0.0025391533892821,0.1180924975285868,0.3939287758564711
safeobjworld_r_full,lowlight,0.6661021765863534,0.9578557171371542,0.0218420302252637,0.0034787567721699,0.2666096378671229,0.0027915417657325,0.1514012745259073,0.2375392737332864
safeobjworld_r_no_temporal,lowlight,0.5416462895747473,0.9141832917705736,0.0395885286783042,0.0069825436408977,0.2738778054862842,0.0025142789426129,0.1247185887474143,0.3954556674991462
safeobjworld_r_no_temporal,lowlight,0.6655869385542438,0.9583119475335043,0.0215568862275449,0.0033076703735386,0.2642144282862845,0.0028831436367023,0.1506868219280127,0.2366396788929411
safeobjworld_r_no_split,lowlight,0.5449695924776038,0.916427680798005,0.0384039900249376,0.0073877805486284,0.2642456359102244,0.0026202794775406,0.1364653346432789,0.3928980196967832
safeobjworld_r_no_split,lowlight,0.6699107268615965,0.9585400627316796,0.0191616766467065,0.0041060735671514,0.2818933561448531,0.0028625586870058,0.1909316702792428,0.2390297343698974
safeobjworld_r_no_area,lowlight,0.5419110824309533,0.9168640897755612,0.0373753117206982,0.006857855361596,0.28428927680798,0.0024765774545775,0.1368894416361537,0.3976566283835883
safeobjworld_r_no_area,lowlight,0.6646763042767391,0.957399486740804,0.022013116623895,0.0034787567721699,0.271285999429712,0.0028850288375492,0.1621349096738462,0.2375010136562703
safeobjworld_r_no_stress,lowlight,0.5466905123059453,0.9115648379052368,0.0438279301745635,0.00607855361596,0.2995947630922693,0.0028063729494581,0.1433041859979818,0.3857194917624876
safeobjworld_r_no_stress,lowlight,0.6775143670352973,0.9614485315084116,0.0189335614485315,0.0039920159680638,0.2769888793840889,0.002821098829356,0.2050174630673355,0.2317591240544043
safeobjworld_r_det,lowlight,0.5333541510656329,0.90963216957606,0.0451995012468827,0.0056421446384039,0.2247817955112219,0.0018588778567262,,0.3951057966287594
safeobjworld_r_det,lowlight,0.6671960399322061,0.9516966067864272,0.0244083262047333,0.0027373823781009,0.2924436840604505,0.0030495513940054,,0.2314774368201561
safeobjworld_r_image_only,lowlight,0.1201817409941116,0.360504987531172,0.4110660847880299,0.0084788029925187,0.6357231920199501,0.0171711264845143,0.0205130301637364,0.8983321039475258
safeobjworld_r_image_only,lowlight,0.1626364727266539,0.5228970630168235,0.18562874251497,0.0051325919589392,0.939093242087254,0.0204951564354713,0.0873219617151051,0.8664958476510387
safeobjworld_r_mask_only,lowlight,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436,0.0294231701537861,0.385098099037819
safeobjworld_r_mask_only,lowlight,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167,0.1744207129992674,0.236957608232615
object_token_full,lowlight,0.2850167063238455,0.855860349127182,0.0549251870324189,0.0082294264339152,0.1268391521197007,0.0135930384107368,-0.2346662610450696,0.7674543897409987
object_token_full,lowlight,0.3373357817034868,0.8902195608782435,0.0434559452523524,0.0042201311662389,0.0565725691474194,0.0149974385570835,-0.278014572656957,0.6986818078477259
object_token_det,lowlight,0.282487513428542,0.8397443890274314,0.0596321695760598,0.006857855361596,0.1450124688279301,0.0017927461629569,,0.7901774163369526
object_token_det,lowlight,0.3597072485879694,0.8940404904476761,0.0438551468491588,0.0050185343598517,0.0980895352152837,0.0034934439722009,,0.642199216515786
object_token_no_geom,lowlight,0.1121447607210919,0.4017456359102244,0.4384351620947631,0.0084788029925187,0.0342581047381546,0.0058829879415811,-0.3628261192259097,0.8751803882810243
object_token_no_geom,lowlight,0.1193091267640756,0.4290846877673225,0.4100370687197034,0.0051325919589392,0.1647562018819504,0.0081042564642126,-0.2841253625617796,0.887954565524919
safeobjworld_r_full,noise,0.5396876525021079,0.915149625935162,0.0408354114713217,0.0067019950124688,0.2729114713216957,0.0026010005969547,0.1472295448469542,0.3931147137540683
safeobjworld_r_full,noise,0.6644469997418385,0.9576276019389792,0.0226404334188765,0.0031365839749073,0.2761334473909324,0.0029539358213908,0.2163633191733603,0.239108569641755
safeobjworld_r_no_temporal,noise,0.5396817629343258,0.9152431421446384,0.0409912718204488,0.0067643391521197,0.2733790523690773,0.0025881283323164,0.1666375007062449,0.3949740638199292
safeobjworld_r_no_temporal,noise,0.6640318487844955,0.957684630738523,0.0226404334188765,0.0030795551753635,0.2741374394069005,0.0030282155523678,0.2047852644811844,0.2394245732500235
safeobjworld_r_no_split,noise,0.5430411621336672,0.9160536159600996,0.0391209476309226,0.0069201995012468,0.2702930174563591,0.0026791308905526,0.1650468002576789,0.3924514478355869
safeobjworld_r_no_split,noise,0.670029899730721,0.9584830339321356,0.0199030510407755,0.0039920159680638,0.2822355289421158,0.0028925366322238,0.228386561341107,0.2403964333021644
safeobjworld_r_no_area,noise,0.5394004951117709,0.917581047381546,0.0379052369077306,0.0066084788029925,0.2793017456359102,0.0025415575585934,0.1576182804593762,0.3971829246032862
safeobjworld_r_no_area,noise,0.6636363386796238,0.9576276019389792,0.0229255774165953,0.003193612774451,0.2811519817507841,0.0031016458368426,0.2254267663124311,0.2392181185259246
safeobjworld_r_no_stress,noise,0.546035689652494,0.9123441396508728,0.0432668329177057,0.0062032418952618,0.3006546134663341,0.0027967200293952,0.1661220504736986,0.3864708634218818
safeobjworld_r_no_stress,noise,0.6768926593700765,0.9613344739093242,0.0191616766467065,0.0039349871685201,0.2757912745936698,0.0028210081986235,0.2024909982773385,0.2318622806930868
safeobjworld_r_det,noise,0.5382828886543383,0.911845386533666,0.0444513715710723,0.005860349127182,0.2302992518703241,0.0018334378181421,,0.3938854806292384
safeobjworld_r_det,noise,0.6685377574849304,0.9546621043627032,0.0258910749928714,0.0026233247790134,0.2826347305389221,0.0028691700658489,,0.231811117048375
safeobjworld_r_image_only,noise,0.1177204244898599,0.3527743142144638,0.4223192019950125,0.0084788029925187,0.6229738154613467,0.0174624251412273,0.0078494399432922,0.8995067321358625
safeobjworld_r_image_only,noise,0.160543252075305,0.5169090390647277,0.1903621328771029,0.0051325919589392,0.940575990875392,0.0212188953890254,0.0778880917225957,0.8692215006678472
safeobjworld_r_mask_only,noise,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436,0.0294231701537861,0.385098099037819
safeobjworld_r_mask_only,noise,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167,0.1744207129992674,0.236957608232615
object_token_full,noise,0.2847329196099948,0.8560785536159601,0.0547381546134663,0.0083229426433915,0.1248129675810473,0.0135317864229104,-0.2263988809460926,0.769327912470349
object_token_full,noise,0.3361062745995143,0.8854291417165668,0.044539492443684,0.0039349871685201,0.0566295979469632,0.0149192736552027,-0.278282018770764,0.7031345697458157
object_token_det,noise,0.2762562991819596,0.8237531172069825,0.0677057356608478,0.0068266832917705,0.1461034912718204,0.0018035775296767,,0.7930767162389439
object_token_det,noise,0.3581927567994437,0.8927288280581693,0.0429997148560022,0.0050755631593954,0.0880524664955802,0.0035620099995825,,0.6376390984366347
object_token_no_geom,noise,0.109726730606386,0.3893703241895261,0.4511221945137157,0.0084788029925187,0.0317019950124688,0.0056770152090565,-0.3554199376371612,0.886215328464187
