method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,n_samples
convlstm_base,lowlight,5,3,0.6271787145725809,0.6897801151239509,0.6584794148482659,0.9520958083832336,0.0213857998289136,0.0025662959794696,0.3139435414884516,0.0033921768695435,0.0,,0.2363194920991539,3507
convlstm_base,lowlight,5,4,0.5744774364318085,0.6030382873477714,0.5887578618897901,0.9369831765041344,0.0330767037353863,0.0031365839749073,0.2968349016253208,0.0033921768695435,0.0,,0.3103451810401153,3507
convlstm_base,lowlight,5,5,0.5314897557915713,0.5243047025066474,0.5278972291491094,0.9230111206159112,0.0413458796692329,0.003706871970345,0.2686056458511548,0.0033921768695435,0.0,,0.3752160849039596,3507
convlstm_base,noise,5,1,0.7807912322411235,0.9018921576643728,0.8413416949527482,0.9828913601368692,0.013116623895067,0.0008554319931565,0.3173652694610778,0.0031082476182732,0.0,,0.0933125615119934,3507
convlstm_base,noise,5,2,0.6940454959929131,0.792540085037178,0.7432927905150456,0.969774736241802,0.0196749358426005,0.001710863986313,0.3125178214998574,0.0031082476182732,0.0,,0.1514711497276639,3507
convlstm_base,noise,5,3,0.6295527135120232,0.6939288336376792,0.6617407735748513,0.954947248360422,0.0259481037924151,0.0022811519817507,0.3002566295979469,0.0031082476182732,0.0,,0.2353796825675431,3507
convlstm_base,noise,5,4,0.5780800493045459,0.608175060232548,0.5931275547685468,0.9375534644995724,0.0345024237239806,0.0028514399771884,0.2834331337325349,0.0031082476182732,0.0,,0.306463950408433,3507
convlstm_base,noise,5,5,0.5346973094957802,0.5313777360829094,0.5330375227893449,0.9235814086113489,0.0427715996578272,0.0039920159680638,0.256914741944682,0.0031082476182732,0.0,,0.3649503570490832,3507
convlstm_base,occlusion,5,1,0.5680725137803527,0.7850778378086507,0.6765751757945017,0.9740518962075848,0.0162532078699743,0.0008554319931565,0.7048759623609923,0.0041517670810958,0.0,,0.2438113689422607,3507
convlstm_base,occlusion,5,2,0.510319765541581,0.6955233397647564,0.6029215526531686,0.9526660963786712,0.0256629597946963,0.0014257199885942,0.6743655546050755,0.0041517670810958,0.0,,0.3846767880755474,3507
convlstm_base,occlusion,5,3,0.4674625022189599,0.613728889767148,0.5405956959930541,0.934131736526946,0.0330767037353863,0.0019960079840319,0.6478471628172227,0.0041517670810958,0.0,,0.4910726896677052,3507
convlstm_base,occlusion,5,4,0.4353208233516847,0.5464361357994977,0.4908784795755911,0.9150270886797832,0.0416310236669518,0.0022811519817507,0.624750499001996,0.0041517670810958,0.0,,0.5695339333545391,3507
convlstm_base,occlusion,5,5,0.4100368683394344,0.4856007024933505,0.4478187854163925,0.8984887368120901,0.0513259195893926,0.0031365839749073,0.5839749073282008,0.0041517670810958,0.0,,0.6262339744637214,3507
convlstm_stress,blur,10,1,0.7647796861360815,0.8895475871349183,0.8271636366354997,0.9819201995012468,0.0127805486284289,0.000935162094763,0.3045511221945137,0.0023897739989106,0.0,,0.1009340286254882,3208
convlstm_stress,blur,10,2,0.6798921032781874,0.7793945330063435,0.7296433181422655,0.9678927680798004,0.0218204488778054,0.0018703241895261,0.2923940149625935,0.0023897739989106,0.0,,0.1608600865427098,3208
convlstm_stress,blur,10,3,0.6176423336958301,0.678239223249589,0.6479407784727096,0.9501246882793016,0.0289900249376558,0.0024937655860349,0.3064214463840399,0.0023897739989106,0.0,,0.2399319751267124,3208
convlstm_stress,blur,10,4,0.56848768035324,0.5970480928749918,0.5827678866141159,0.9339152119700748,0.0355361596009975,0.0037406483790523,0.3048628428927681,0.0023897739989106,0.0,,0.3138123219298602,3208
convlstm_stress,blur,10,5,0.5274760353754246,0.5291486970255183,0.5283123662004715,0.9205112219451372,0.0423940149625935,0.0049875311720698,0.2923940149625935,0.0023897739989106,0.0,,0.3815100581717313,3208
convlstm_stress,blur,10,6,0.4919153497388239,0.4735449211228417,0.4827301354308327,0.902431421446384,0.0492518703241895,0.0065461346633416,0.2839775561097257,0.0023897739989106,0.0,,0.4367262190788464,3208
convlstm_stress,blur,10,7,0.4599768621847492,0.4269117528001164,0.4434443074924328,0.8815461346633416,0.0557980049875311,0.0077930174563591,0.2690149625935162,0.0023897739989106,0.0,,0.4997301654439614,3208
convlstm_stress,blur,10,8,0.4314297561382623,0.387162993608006,0.4092963748731342,0.8628428927680798,0.0670199501246882,0.0090399002493765,0.2428304239401496,0.0023897739989106,0.0,,0.5508674024941023,3208
convlstm_stress,blur,10,9,0.4064851402420075,0.3531790434066775,0.3798320918243426,0.8403990024937655,0.0769950124688279,0.0096633416458852,0.2213216957605985,0.0023897739989106,0.0,,0.6019577884911896,3208
convlstm_stress,blur,10,10,0.3847243927672658,0.3253330621475896,0.3550287274574277,0.8226309226932669,0.084788029925187,0.010286783042394,0.1991895261845386,0.0023897739989106,0.0,,0.6426732387960403,3208
convlstm_stress,clean,10,1,0.7644948259974498,0.8891621950231118,0.8268285105102807,0.9822319201995012,0.0124688279301745,0.000935162094763,0.3079800498753117,0.0023852083391459,0.0,,0.1006603837013244,3208
convlstm_stress,clean,10,2,0.6796027202999321,0.7786901414677129,0.7291464308838225,0.9675810473815462,0.0218204488778054,0.0018703241895261,0.290211970074813,0.0023852083391459,0.0,,0.1615682991960102,3208
convlstm_stress,clean,10,3,0.6171531782799649,0.677626889422167,0.6473900338510659,0.9501246882793016,0.0286783042394014,0.0024937655860349,0.307356608478803,0.0023852083391459,0.0,,0.2419203975402803,3208
convlstm_stress,clean,10,4,0.5680061343184769,0.5967311223912356,0.5823686283548563,0.933291770573566,0.0352244389027431,0.0037406483790523,0.3104738154613466,0.0023852083391459,0.0,,0.3145785614142096,3208
convlstm_stress,clean,10,5,0.5269688389933131,0.5289337976987671,0.5279513183460401,0.9208229426433916,0.0427057356608478,0.0049875311720698,0.3023690773067332,0.0023852083391459,0.0,,0.3826243569911863,3208
convlstm_stress,clean,10,6,0.4914439598384961,0.473588869748541,0.4825164147935186,0.9027431421446384,0.048004987531172,0.0065461346633416,0.2883416458852867,0.0023852083391459,0.0,,0.4372410958916172,3208
convlstm_stress,clean,10,7,0.4595477562497955,0.4271747650186213,0.4433612606342084,0.8827930174563591,0.0551745635910224,0.0077930174563591,0.2699501246882793,0.0023852083391459,0.0,,0.5012006383119825,3208
convlstm_stress,clean,10,8,0.4311112776835686,0.3874585710519485,0.4092849243677586,0.8622194513715711,0.0685785536159601,0.0090399002493765,0.247506234413965,0.0023852083391459,0.0,,0.5520489893277684,3208
convlstm_stress,clean,10,9,0.4061259233662326,0.3536402714473061,0.3798830974067693,0.8391521197007481,0.0763715710723192,0.0099750623441396,0.2231920199501247,0.0023852083391459,0.0,,0.6022288632437475,3208
convlstm_stress,clean,10,10,0.3841866646453165,0.3258951651087837,0.3550409148770501,0.8223192019950125,0.0838528678304239,0.0109102244389027,0.2088528678304239,0.0023852083391459,0.0,,0.6423484291184574,3208
convlstm_stress,distractor,10,1,0.7653688297219736,0.8900800327197743,0.8277244312208739,0.9812967581047382,0.0127805486284289,0.000935162094763,0.3082917705735661,0.0023607588564521,0.0,,0.1009619235992431,3208
convlstm_stress,distractor,10,2,0.6805460376233933,0.7807757325917287,0.7306608851075609,0.9675810473815462,0.0211970074812967,0.0018703241895261,0.2917705735660847,0.0023607588564521,0.0,,0.1609326531539237,3208
convlstm_stress,distractor,10,3,0.6182970438295647,0.6796088076465893,0.648952925738077,0.9516832917705736,0.0280548628428927,0.0024937655860349,0.3051745635910224,0.0023607588564521,0.0,,0.2397235510429539,3208
convlstm_stress,distractor,10,4,0.5692570878447807,0.5993939450566755,0.584325516450728,0.9336034912718204,0.0349127182044887,0.0037406483790523,0.3051745635910224,0.0023607588564521,0.0,,0.3142426454106768,3208
convlstm_stress,distractor,10,5,0.5284847403134183,0.5320000721182407,0.5302424062158295,0.9211346633416458,0.0420822942643391,0.0049875311720698,0.3036159600997506,0.0023607588564521,0.0,,0.3797850855939703,3208
convlstm_stress,distractor,10,6,0.4930437504953778,0.4772980905643116,0.4851709205298447,0.9043017456359104,0.048004987531172,0.0065461346633416,0.2961346633416459,0.0023607588564521,0.0,,0.4356427889438043,3208
convlstm_stress,distractor,10,7,0.4612292507258091,0.4305403806860012,0.4458848157059051,0.8840399002493765,0.0557980049875311,0.0074812967581047,0.2721321695760598,0.0023607588564521,0.0,,0.4983665308545801,3208
