method,stress,jf,ops,vanish,hallucination,split,mce
linear_centroid,frame_drop,0.4170860946506117,0.7599438902743142,0.14214463840399,0.0078865336658354,0.4694825436408977,0.0007402764033232
linear_centroid,frame_drop,0.5487375118913369,0.8689478186484174,0.0643284858853721,0.0051325919589392,0.4745366410037068,0.0008509625388519
linear_centroid_scale,frame_drop,0.4003744361781118,0.757138403990025,0.1463840399002493,0.006359102244389,0.4498441396508728,0.0026991042760647
linear_centroid_scale,frame_drop,0.5322405517152334,0.8634160250926718,0.0697462218420302,0.0043912175648702,0.4627887082976903,0.0024691634273416
flow_warp,frame_drop,0.4228493863167381,0.7663653366583542,0.1283665835411471,0.0072630922693266,0.6394638403990025,0.0031699178320314
flow_warp,frame_drop,0.5487092402280211,0.8663815226689479,0.0659252922725976,0.0046763615625891,0.5683490162532079,0.0029225601584572
flow_linear_fallback,frame_drop,0.4316237172800187,0.7749064837905237,0.1249064837905236,0.0074189526184538,0.546571072319202,0.002980664555535
flow_linear_fallback,frame_drop,0.5561490872616962,0.8707727402338181,0.0628457370972341,0.0047904191616766,0.5457085828343313,0.0066576430660847
convlstm_base,frame_drop,0.4969118273457554,0.8874688279301746,0.0585099750623441,0.0057044887780548,0.2887468827930174,0.0034865888864961
convlstm_base,frame_drop,0.6121176334361604,0.9374964357000284,0.0339321357285429,0.0020530367835757,0.3367550613059595,0.004845007474875
convlstm_stress,frame_drop,0.5287009312977928,0.9024937655860348,0.049002493765586,0.0054551122194513,0.2779613466334165,0.0025737956220924
convlstm_stress,frame_drop,0.652045297884261,0.9501568291987452,0.0282862845737097,0.0025092671799258,0.2842315369261477,0.0034387788144414
safeobjworld_r_full,frame_drop,0.5300323055633802,0.9122194513715712,0.0430174563591022,0.0062967581047381,0.2783042394014962,0.0028249386884067
safeobjworld_r_full,frame_drop,0.651839982864474,0.9555175363558596,0.0252067293983461,0.0030795551753635,0.2907898488736812,0.0034561859266612
safeobjworld_r_no_temporal,frame_drop,0.5295079975633583,0.9119700748129675,0.0423940149625935,0.0064837905236907,0.2754675810473815,0.0028181641786148
safeobjworld_r_no_temporal,frame_drop,0.6507411274970383,0.9552894211576848,0.0253778157969774,0.0030795551753635,0.2903336184773311,0.003589820209857
safeobjworld_r_no_split,frame_drop,0.5344909532197372,0.911502493765586,0.0405236907730673,0.0070137157107231,0.2723192019950124,0.0029329724418276
safeobjworld_r_no_split,frame_drop,0.6531211444103066,0.9552894211576848,0.0213287710293698,0.0039920159680638,0.2975762760193898,0.0034036717274215
safeobjworld_r_no_area,frame_drop,0.5290925566871618,0.9143079800498752,0.0405236907730673,0.0069201995012468,0.2842581047381546,0.0028431150529117
safeobjworld_r_no_area,frame_drop,0.6503738048844819,0.9550613059595096,0.024978614200171,0.003193612774451,0.299743370402053,0.0036770471916389
safeobjworld_r_no_stress,frame_drop,0.5080032067093507,0.8965087281795511,0.0526184538653366,0.0061720698254364,0.3460411471321696,0.0039649768478545
safeobjworld_r_no_stress,frame_drop,0.6290958111596647,0.9523809523809524,0.0239520958083832,0.0038779583689763,0.3177074422583404,0.0041547386661974
safeobjworld_r_det,frame_drop,0.5241834018456796,0.9050498753117208,0.0456359102244389,0.0055174563591022,0.2430486284289277,0.002152388106569
safeobjworld_r_det,frame_drop,0.6511409648669986,0.950955232392358,0.0275449101796407,0.0025092671799258,0.2885086968919304,0.003273615130084
safeobjworld_r_image_only,frame_drop,0.1173545498109566,0.3516209476309227,0.4257793017456359,0.0084788029925187,0.6217581047381546,0.0175635321971677
safeobjworld_r_image_only,frame_drop,0.1622768400342059,0.5216424294268606,0.1877958368976333,0.0051325919589392,0.9387510692899914,0.0210981320840599
safeobjworld_r_mask_only,frame_drop,0.5250821790125851,0.9015586034912718,0.0509039900249376,0.0055486284289276,0.3028678304239401,0.0033499081260152
safeobjworld_r_mask_only,frame_drop,0.6467554599068512,0.95295124037639,0.0245794126033647,0.0035357855717137,0.2338180781294553,0.0034256517451869
object_token_full,frame_drop,0.28265189470245,0.8537094763092269,0.0555798004987531,0.0082294264339152,0.1238466334164588,0.0135695267753302
object_token_full,frame_drop,0.333320403436217,0.8837182777302538,0.0463644140290846,0.0039920159680638,0.0557171371542629,0.0148770758272591
object_token_det,frame_drop,0.2741296072407256,0.8207605985037406,0.0680486284289276,0.0068266832917705,0.1484102244389027,0.0018413671685476
object_token_det,frame_drop,0.3565261755559328,0.890846877673225,0.0443113772455089,0.0051325919589392,0.0910179640718562,0.0038410663347326
object_token_no_geom,frame_drop,0.1096631815294423,0.3899937655860349,0.4501870324189526,0.0084788029925187,0.032574812967581,0.005678561936246
object_token_no_geom,frame_drop,0.1172954917686962,0.4200171086398631,0.4201881950384944,0.0051325919589392,0.2107214143142287,0.0082648701097807
copy_last,lowlight,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0
copy_last,lowlight,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0
linear_centroid,lowlight,0.5258047049854141,0.8610660847880299,0.0646197007481296,0.0084788029925187,0.4768391521197007,0.0002857486507726
linear_centroid,lowlight,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197
linear_centroid_scale,lowlight,0.4977594635718718,0.842861596009975,0.0776807980049875,0.0073566084788029,0.4550498753117207,0.001477871505409
linear_centroid_scale,lowlight,0.6365146270211725,0.9179925862560592,0.034901625320787,0.0043912175648702,0.4619903051040775,0.0012572706094337
flow_warp,lowlight,0.5336495973430714,0.8641521197007481,0.0623129675810473,0.008291770573566,0.5966334164588528,0.0013987712274671
flow_warp,lowlight,0.6701084501181821,0.9259195893926432,0.0289136013686911,0.0050185343598517,0.5375534644995723,0.0014899075909702
flow_linear_fallback,lowlight,0.5464716516955289,0.8724750623441396,0.0582605985037406,0.0084788029925187,0.5254052369077307,0.0014141836701588
flow_linear_fallback,lowlight,0.6769913461883966,0.9285429141716568,0.0281151981750784,0.0051325919589392,0.5190191046478472,0.0033744341901484
convlstm_base,lowlight,0.5361560230298468,0.8961346633416459,0.0560473815461346,0.0056421446384039,0.2519950124688279,0.0025604512042349
convlstm_base,lowlight,0.6713381467766762,0.9539207299686342,0.0242942686056458,0.002452238380382,0.3063016823495865,0.0033921768695435
convlstm_stress,lowlight,0.5459546015093183,0.906577306733167,0.0452618453865336,0.0058915211970074,0.2783977556109726,0.0024271233651456
convlstm_stress,lowlight,0.6704781911513985,0.9573424579412604,0.0219560878243512,0.0028514399771884,0.2914741944682064,0.002933253149095
safeobjworld_r_full,lowlight,0.5414539040812598,0.9143079800498752,0.0405236907730673,0.006857855361596,0.2729426433915212,0.0025391533892821
safeobjworld_r_full,lowlight,0.6661021765863534,0.9578557171371542,0.0218420302252637,0.0034787567721699,0.2666096378671229,0.0027915417657325
safeobjworld_r_no_temporal,lowlight,0.5416462895747473,0.9141832917705736,0.0395885286783042,0.0069825436408977,0.2738778054862842,0.0025142789426129
safeobjworld_r_no_temporal,lowlight,0.6655869385542438,0.9583119475335043,0.0215568862275449,0.0033076703735386,0.2642144282862845,0.0028831436367023
safeobjworld_r_no_split,lowlight,0.5449695924776038,0.916427680798005,0.0384039900249376,0.0073877805486284,0.2642456359102244,0.0026202794775406
safeobjworld_r_no_split,lowlight,0.6699107268615965,0.9585400627316796,0.0191616766467065,0.0041060735671514,0.2818933561448531,0.0028625586870058
safeobjworld_r_no_area,lowlight,0.5419110824309533,0.9168640897755612,0.0373753117206982,0.006857855361596,0.28428927680798,0.0024765774545775
safeobjworld_r_no_area,lowlight,0.6646763042767391,0.957399486740804,0.022013116623895,0.0034787567721699,0.271285999429712,0.0028850288375492
safeobjworld_r_no_stress,lowlight,0.5466905123059453,0.9115648379052368,0.0438279301745635,0.00607855361596,0.2995947630922693,0.0028063729494581
safeobjworld_r_no_stress,lowlight,0.6775143670352973,0.9614485315084116,0.0189335614485315,0.0039920159680638,0.2769888793840889,0.002821098829356
safeobjworld_r_det,lowlight,0.5333541510656329,0.90963216957606,0.0451995012468827,0.0056421446384039,0.2247817955112219,0.0018588778567262
safeobjworld_r_det,lowlight,0.6671960399322061,0.9516966067864272,0.0244083262047333,0.0027373823781009,0.2924436840604505,0.0030495513940054
safeobjworld_r_image_only,lowlight,0.1201817409941116,0.360504987531172,0.4110660847880299,0.0084788029925187,0.6357231920199501,0.0171711264845143
safeobjworld_r_image_only,lowlight,0.1626364727266539,0.5228970630168235,0.18562874251497,0.0051325919589392,0.939093242087254,0.0204951564354713
safeobjworld_r_mask_only,lowlight,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436
safeobjworld_r_mask_only,lowlight,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167
object_token_full,lowlight,0.2850167063238455,0.855860349127182,0.0549251870324189,0.0082294264339152,0.1268391521197007,0.0135930384107368
object_token_full,lowlight,0.3373357817034868,0.8902195608782435,0.0434559452523524,0.0042201311662389,0.0565725691474194,0.0149974385570835
object_token_det,lowlight,0.282487513428542,0.8397443890274314,0.0596321695760598,0.006857855361596,0.1450124688279301,0.0017927461629569
object_token_det,lowlight,0.3597072485879694,0.8940404904476761,0.0438551468491588,0.0050185343598517,0.0980895352152837,0.0034934439722009
object_token_no_geom,lowlight,0.1121447607210919,0.4017456359102244,0.4384351620947631,0.0084788029925187,0.0342581047381546,0.0058829879415811
object_token_no_geom,lowlight,0.1193091267640756,0.4290846877673225,0.4100370687197034,0.0051325919589392,0.1647562018819504,0.0081042564642126
copy_last,noise,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0
copy_last,noise,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0
linear_centroid,noise,0.5258047049854141,0.8610660847880299,0.0646197007481296,0.0084788029925187,0.4768391521197007,0.0002857486507726
linear_centroid,noise,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197
linear_centroid_scale,noise,0.4977594635718718,0.842861596009975,0.0776807980049875,0.0073566084788029,0.4550498753117207,0.001477871505409
linear_centroid_scale,noise,0.6365146270211725,0.9179925862560592,0.034901625320787,0.0043912175648702,0.4619903051040775,0.0012572706094337
