====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_geom",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_geom device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_geom/H5
[train:safeobj_no_geom:H5] epoch=6/8 step=350/1086 loss=0.8596
[train:safeobj_no_geom:H5] epoch=6/8 step=375/1086 loss=0.8354
[train:safeobj_no_geom:H5] epoch=6/8 step=400/1086 loss=0.8535
[train:safeobj_no_geom:H5] epoch=6/8 step=425/1086 loss=0.8731
[train:safeobj_no_geom:H5] epoch=6/8 step=450/1086 loss=0.8769
[train:safeobj_no_geom:H5] epoch=6/8 step=475/1086 loss=0.8776
[train:safeobj_no_geom:H5] epoch=6/8 step=500/1086 loss=0.8320
[train:safeobj_no_geom:H5] epoch=6/8 step=525/1086 loss=0.8430
[train:safeobj_no_geom:H5] epoch=6/8 step=550/1086 loss=0.8922
[train:safeobj_no_geom:H5] epoch=6/8 step=575/1086 loss=0.8621
[train:safeobj_no_geom:H5] epoch=6/8 step=600/1086 loss=0.8816
[train:safeobj_no_geom:H5] epoch=6/8 step=625/1086 loss=0.8618
[train:safeobj_no_geom:H5] epoch=6/8 step=650/1086 loss=0.8940
[train:safeobj_no_geom:H5] epoch=6/8 step=675/1086 loss=0.8484
[train:safeobj_no_geom:H5] epoch=6/8 step=700/1086 loss=0.8427
[train:safeobj_no_geom:H5] epoch=6/8 step=725/1086 loss=0.8514
[train:safeobj_no_geom:H5] epoch=6/8 step=750/1086 loss=0.8471
[train:safeobj_no_geom:H5] epoch=6/8 step=775/1086 loss=0.8801
[train:safeobj_no_geom:H5] epoch=6/8 step=800/1086 loss=0.8654
[train:safeobj_no_geom:H5] epoch=6/8 step=825/1086 loss=0.8343
[train:safeobj_no_geom:H5] epoch=6/8 step=850/1086 loss=0.8524
[train:safeobj_no_geom:H5] epoch=6/8 step=875/1086 loss=0.8867
[train:safeobj_no_geom:H5] epoch=6/8 step=900/1086 loss=0.8918
[train:safeobj_no_geom:H5] epoch=6/8 step=925/1086 loss=0.8695
[train:safeobj_no_geom:H5] epoch=6/8 step=950/1086 loss=0.8726
[train:safeobj_no_geom:H5] epoch=6/8 step=975/1086 loss=0.8366
[train:safeobj_no_geom:H5] epoch=6/8 step=1000/1086 loss=0.8806
[train:safeobj_no_geom:H5] epoch=6/8 step=1025/1086 loss=0.8403
[train:safeobj_no_geom:H5] epoch=6/8 step=1050/1086 loss=0.8589
[train:safeobj_no_geom:H5] epoch=6/8 step=1075/1086 loss=0.8507
[epoch done:safeobj_no_geom:H5] epoch=6 train=0.8690 val=1.0740 best=1.0279
[train:safeobj_no_geom:H5] epoch=7/8 step=0/1086 loss=0.9870
[train:safeobj_no_geom:H5] epoch=7/8 step=25/1086 loss=0.8152
[train:safeobj_no_geom:H5] epoch=7/8 step=50/1086 loss=0.8240
[train:safeobj_no_geom:H5] epoch=7/8 step=75/1086 loss=0.8351
[train:safeobj_no_geom:H5] epoch=7/8 step=100/1086 loss=0.8370
[train:safeobj_no_geom:H5] epoch=7/8 step=125/1086 loss=0.8189
[train:safeobj_no_geom:H5] epoch=7/8 step=150/1086 loss=0.8528
[train:safeobj_no_geom:H5] epoch=7/8 step=175/1086 loss=0.8262
[train:safeobj_no_geom:H5] epoch=7/8 step=200/1086 loss=0.8701
[train:safeobj_no_geom:H5] epoch=7/8 step=225/1086 loss=0.8319
[train:safeobj_no_geom:H5] epoch=7/8 step=250/1086 loss=0.8328
[train:safeobj_no_geom:H5] epoch=7/8 step=275/1086 loss=0.8382
[train:safeobj_no_geom:H5] epoch=7/8 step=300/1086 loss=0.8611
[train:safeobj_no_geom:H5] epoch=7/8 step=325/1086 loss=0.8623
[train:safeobj_no_geom:H5] epoch=7/8 step=350/1086 loss=0.8483
[train:safeobj_no_geom:H5] epoch=7/8 step=375/1086 loss=0.8279
[train:safeobj_no_geom:H5] epoch=7/8 step=400/1086 loss=0.8085
[train:safeobj_no_geom:H5] epoch=7/8 step=425/1086 loss=0.8362
[train:safeobj_no_geom:H5] epoch=7/8 step=450/1086 loss=0.8274
[train:safeobj_no_geom:H5] epoch=7/8 step=475/1086 loss=0.8838
[train:safeobj_no_geom:H5] epoch=7/8 step=500/1086 loss=0.8690
[train:safeobj_no_geom:H5] epoch=7/8 step=525/1086 loss=0.8128
[train:safeobj_no_geom:H5] epoch=7/8 step=550/1086 loss=0.8700
[train:safeobj_no_geom:H5] epoch=7/8 step=575/1086 loss=0.8498
[train:safeobj_no_geom:H5] epoch=7/8 step=600/1086 loss=0.8498
[train:safeobj_no_geom:H5] epoch=7/8 step=625/1086 loss=0.8336
[train:safeobj_no_geom:H5] epoch=7/8 step=650/1086 loss=0.8376
[train:safeobj_no_geom:H5] epoch=7/8 step=675/1086 loss=0.8264
