====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "convlstm",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.0,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=convlstm device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/convlstm/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[epoch done:convlstm:H5] epoch=5 train=0.4239 val=0.3593 best=0.3573
[train:convlstm:H5] epoch=6/8 step=0/1086 loss=0.4203
[train:convlstm:H5] epoch=6/8 step=25/1086 loss=0.4535
[train:convlstm:H5] epoch=6/8 step=50/1086 loss=0.4229
[train:convlstm:H5] epoch=6/8 step=75/1086 loss=0.4001
[train:convlstm:H5] epoch=6/8 step=100/1086 loss=0.4199
[train:convlstm:H5] epoch=6/8 step=125/1086 loss=0.4225
[train:convlstm:H5] epoch=6/8 step=150/1086 loss=0.4321
[train:convlstm:H5] epoch=6/8 step=175/1086 loss=0.4282
[train:convlstm:H5] epoch=6/8 step=200/1086 loss=0.4140
[train:convlstm:H5] epoch=6/8 step=225/1086 loss=0.4192
[train:convlstm:H5] epoch=6/8 step=250/1086 loss=0.4575
[train:convlstm:H5] epoch=6/8 step=275/1086 loss=0.4269
[train:convlstm:H5] epoch=6/8 step=300/1086 loss=0.4010
[train:convlstm:H5] epoch=6/8 step=325/1086 loss=0.3842
[train:convlstm:H5] epoch=6/8 step=350/1086 loss=0.3755
[train:convlstm:H5] epoch=6/8 step=375/1086 loss=0.4310
[train:convlstm:H5] epoch=6/8 step=400/1086 loss=0.3961
[train:convlstm:H5] epoch=6/8 step=425/1086 loss=0.4052
[train:convlstm:H5] epoch=6/8 step=450/1086 loss=0.3899
[train:convlstm:H5] epoch=6/8 step=475/1086 loss=0.4493
[train:convlstm:H5] epoch=6/8 step=500/1086 loss=0.4049
[train:convlstm:H5] epoch=6/8 step=525/1086 loss=0.4509
[train:convlstm:H5] epoch=6/8 step=550/1086 loss=0.3926
[train:convlstm:H5] epoch=6/8 step=575/1086 loss=0.3894
[train:convlstm:H5] epoch=6/8 step=600/1086 loss=0.4131
[train:convlstm:H5] epoch=6/8 step=625/1086 loss=0.4232
[train:convlstm:H5] epoch=6/8 step=650/1086 loss=0.4168
[train:convlstm:H5] epoch=6/8 step=675/1086 loss=0.4327
[train:convlstm:H5] epoch=6/8 step=700/1086 loss=0.4076
[train:convlstm:H5] epoch=6/8 step=725/1086 loss=0.4064
[train:convlstm:H5] epoch=6/8 step=750/1086 loss=0.4259
[train:convlstm:H5] epoch=6/8 step=775/1086 loss=0.4678
[train:convlstm:H5] epoch=6/8 step=800/1086 loss=0.4623
[train:convlstm:H5] epoch=6/8 step=825/1086 loss=0.4131
[train:convlstm:H5] epoch=6/8 step=850/1086 loss=0.4375
[train:convlstm:H5] epoch=6/8 step=875/1086 loss=0.4058
[train:convlstm:H5] epoch=6/8 step=900/1086 loss=0.4053
[train:convlstm:H5] epoch=6/8 step=925/1086 loss=0.4354
[train:convlstm:H5] epoch=6/8 step=950/1086 loss=0.4276
[train:convlstm:H5] epoch=6/8 step=975/1086 loss=0.4233
[train:convlstm:H5] epoch=6/8 step=1000/1086 loss=0.4359
[train:convlstm:H5] epoch=6/8 step=1025/1086 loss=0.4126
[train:convlstm:H5] epoch=6/8 step=1050/1086 loss=0.4284
[train:convlstm:H5] epoch=6/8 step=1075/1086 loss=0.3802
[epoch done:convlstm:H5] epoch=6 train=0.4169 val=0.3574 best=0.3573
[train:convlstm:H5] epoch=7/8 step=0/1086 loss=0.3655
[train:convlstm:H5] epoch=7/8 step=25/1086 loss=0.4447
[train:convlstm:H5] epoch=7/8 step=50/1086 loss=0.4415
[train:convlstm:H5] epoch=7/8 step=75/1086 loss=0.4257
[train:convlstm:H5] epoch=7/8 step=100/1086 loss=0.4074
[train:convlstm:H5] epoch=7/8 step=125/1086 loss=0.4248
[train:convlstm:H5] epoch=7/8 step=150/1086 loss=0.4005
[train:convlstm:H5] epoch=7/8 step=175/1086 loss=0.4413
[train:convlstm:H5] epoch=7/8 step=200/1086 loss=0.4072
[train:convlstm:H5] epoch=7/8 step=225/1086 loss=0.4167
[train:convlstm:H5] epoch=7/8 step=250/1086 loss=0.4223
[train:convlstm:H5] epoch=7/8 step=275/1086 loss=0.3743
[train:convlstm:H5] epoch=7/8 step=300/1086 loss=0.3797
[train:convlstm:H5] epoch=7/8 step=325/1086 loss=0.3933
[train:convlstm:H5] epoch=7/8 step=350/1086 loss=0.3834
[train:convlstm:H5] epoch=7/8 step=375/1086 loss=0.4199
[train:convlstm:H5] epoch=7/8 step=400/1086 loss=0.4075
[train:convlstm:H5] epoch=7/8 step=425/1086 loss=0.3978
[train:convlstm:H5] epoch=7/8 step=450/1086 loss=0.3964
[train:convlstm:H5] epoch=7/8 step=475/1086 loss=0.3976
[train:convlstm:H5] epoch=7/8 step=500/1086 loss=0.3791
[train:convlstm:H5] epoch=7/8 step=525/1086 loss=0.4222
[train:convlstm:H5] epoch=7/8 step=550/1086 loss=0.3847
[train:convlstm:H5] epoch=7/8 step=575/1086 loss=0.3667
[train:convlstm:H5] epoch=7/8 step=600/1086 loss=0.4169
[train:convlstm:H5] epoch=7/8 step=625/1086 loss=0.4384
[train:convlstm:H5] epoch=7/8 step=650/1086 loss=0.4183
[train:convlstm:H5] epoch=7/8 step=675/1086 loss=0.4240
[train:convlstm:H5] epoch=7/8 step=700/1086 loss=0.4078
