====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_det",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_det device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_det/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[train:safeobj_det:H5] epoch=5/8 step=75/1086 loss=0.6154
[train:safeobj_det:H5] epoch=5/8 step=100/1086 loss=0.6317
[train:safeobj_det:H5] epoch=5/8 step=125/1086 loss=0.6224
[train:safeobj_det:H5] epoch=5/8 step=150/1086 loss=0.6667
[train:safeobj_det:H5] epoch=5/8 step=175/1086 loss=0.6181
[train:safeobj_det:H5] epoch=5/8 step=200/1086 loss=0.6389
[train:safeobj_det:H5] epoch=5/8 step=225/1086 loss=0.6100
[train:safeobj_det:H5] epoch=5/8 step=250/1086 loss=0.6340
[train:safeobj_det:H5] epoch=5/8 step=275/1086 loss=0.6576
[train:safeobj_det:H5] epoch=5/8 step=300/1086 loss=0.6277
[train:safeobj_det:H5] epoch=5/8 step=325/1086 loss=0.6020
[train:safeobj_det:H5] epoch=5/8 step=350/1086 loss=0.6238
[train:safeobj_det:H5] epoch=5/8 step=375/1086 loss=0.6127
[train:safeobj_det:H5] epoch=5/8 step=400/1086 loss=0.5955
[train:safeobj_det:H5] epoch=5/8 step=425/1086 loss=0.6278
[train:safeobj_det:H5] epoch=5/8 step=450/1086 loss=0.6324
[train:safeobj_det:H5] epoch=5/8 step=475/1086 loss=0.6174
[train:safeobj_det:H5] epoch=5/8 step=500/1086 loss=0.6386
[train:safeobj_det:H5] epoch=5/8 step=525/1086 loss=0.6286
[train:safeobj_det:H5] epoch=5/8 step=550/1086 loss=0.6448
[train:safeobj_det:H5] epoch=5/8 step=575/1086 loss=0.6184
[train:safeobj_det:H5] epoch=5/8 step=600/1086 loss=0.6139
[train:safeobj_det:H5] epoch=5/8 step=625/1086 loss=0.6079
[train:safeobj_det:H5] epoch=5/8 step=650/1086 loss=0.6034
[train:safeobj_det:H5] epoch=5/8 step=675/1086 loss=0.6455
[train:safeobj_det:H5] epoch=5/8 step=700/1086 loss=0.5944
[train:safeobj_det:H5] epoch=5/8 step=725/1086 loss=0.5957
[train:safeobj_det:H5] epoch=5/8 step=750/1086 loss=0.6220
[train:safeobj_det:H5] epoch=5/8 step=775/1086 loss=0.6206
[train:safeobj_det:H5] epoch=5/8 step=800/1086 loss=0.6222
[train:safeobj_det:H5] epoch=5/8 step=825/1086 loss=0.5901
[train:safeobj_det:H5] epoch=5/8 step=850/1086 loss=0.6586
[train:safeobj_det:H5] epoch=5/8 step=875/1086 loss=0.6223
[train:safeobj_det:H5] epoch=5/8 step=900/1086 loss=0.5928
[train:safeobj_det:H5] epoch=5/8 step=925/1086 loss=0.5717
[train:safeobj_det:H5] epoch=5/8 step=950/1086 loss=0.6235
[train:safeobj_det:H5] epoch=5/8 step=975/1086 loss=0.6177
[train:safeobj_det:H5] epoch=5/8 step=1000/1086 loss=0.6514
[train:safeobj_det:H5] epoch=5/8 step=1025/1086 loss=0.6025
[train:safeobj_det:H5] epoch=5/8 step=1050/1086 loss=0.5856
[train:safeobj_det:H5] epoch=5/8 step=1075/1086 loss=0.6402
[epoch done:safeobj_det:H5] epoch=5 train=0.6222 val=0.7065 best=0.6762
[train:safeobj_det:H5] epoch=6/8 step=0/1086 loss=0.5820
[train:safeobj_det:H5] epoch=6/8 step=25/1086 loss=0.5878
[train:safeobj_det:H5] epoch=6/8 step=50/1086 loss=0.6039
[train:safeobj_det:H5] epoch=6/8 step=75/1086 loss=0.6299
[train:safeobj_det:H5] epoch=6/8 step=100/1086 loss=0.6039
[train:safeobj_det:H5] epoch=6/8 step=125/1086 loss=0.5981
[train:safeobj_det:H5] epoch=6/8 step=150/1086 loss=0.6180
[train:safeobj_det:H5] epoch=6/8 step=175/1086 loss=0.6405
[train:safeobj_det:H5] epoch=6/8 step=200/1086 loss=0.6364
[train:safeobj_det:H5] epoch=6/8 step=225/1086 loss=0.6353
[train:safeobj_det:H5] epoch=6/8 step=250/1086 loss=0.6438
[train:safeobj_det:H5] epoch=6/8 step=275/1086 loss=0.6108
[train:safeobj_det:H5] epoch=6/8 step=300/1086 loss=0.6307
[train:safeobj_det:H5] epoch=6/8 step=325/1086 loss=0.5808
[train:safeobj_det:H5] epoch=6/8 step=350/1086 loss=0.6105
