====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_stress",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 0,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_stress device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_stress/H5
[train:safeobj_no_stress:H5] epoch=4/8 step=150/1086 loss=0.6995
[train:safeobj_no_stress:H5] epoch=4/8 step=175/1086 loss=0.7028
[train:safeobj_no_stress:H5] epoch=4/8 step=200/1086 loss=0.7476
[train:safeobj_no_stress:H5] epoch=4/8 step=225/1086 loss=0.6891
[train:safeobj_no_stress:H5] epoch=4/8 step=250/1086 loss=0.6843
[train:safeobj_no_stress:H5] epoch=4/8 step=275/1086 loss=0.6610
[train:safeobj_no_stress:H5] epoch=4/8 step=300/1086 loss=0.7083
[train:safeobj_no_stress:H5] epoch=4/8 step=325/1086 loss=0.7192
[train:safeobj_no_stress:H5] epoch=4/8 step=350/1086 loss=0.7456
[train:safeobj_no_stress:H5] epoch=4/8 step=375/1086 loss=0.6928
[train:safeobj_no_stress:H5] epoch=4/8 step=400/1086 loss=0.6995
[train:safeobj_no_stress:H5] epoch=4/8 step=425/1086 loss=0.7086
[train:safeobj_no_stress:H5] epoch=4/8 step=450/1086 loss=0.7289
[train:safeobj_no_stress:H5] epoch=4/8 step=475/1086 loss=0.6802
[train:safeobj_no_stress:H5] epoch=4/8 step=500/1086 loss=0.6718
[train:safeobj_no_stress:H5] epoch=4/8 step=525/1086 loss=0.7009
[train:safeobj_no_stress:H5] epoch=4/8 step=550/1086 loss=0.6784
[train:safeobj_no_stress:H5] epoch=4/8 step=575/1086 loss=0.6687
[train:safeobj_no_stress:H5] epoch=4/8 step=600/1086 loss=0.7080
[train:safeobj_no_stress:H5] epoch=4/8 step=625/1086 loss=0.7298
[train:safeobj_no_stress:H5] epoch=4/8 step=650/1086 loss=0.7017
[train:safeobj_no_stress:H5] epoch=4/8 step=675/1086 loss=0.7179
[train:safeobj_no_stress:H5] epoch=4/8 step=700/1086 loss=0.6855
[train:safeobj_no_stress:H5] epoch=4/8 step=725/1086 loss=0.6942
[train:safeobj_no_stress:H5] epoch=4/8 step=750/1086 loss=0.6623
[train:safeobj_no_stress:H5] epoch=4/8 step=775/1086 loss=0.6570
[train:safeobj_no_stress:H5] epoch=4/8 step=800/1086 loss=0.6486
[train:safeobj_no_stress:H5] epoch=4/8 step=825/1086 loss=0.6582
[train:safeobj_no_stress:H5] epoch=4/8 step=850/1086 loss=0.6830
[train:safeobj_no_stress:H5] epoch=4/8 step=875/1086 loss=0.6945
[train:safeobj_no_stress:H5] epoch=4/8 step=900/1086 loss=0.7217
[train:safeobj_no_stress:H5] epoch=4/8 step=925/1086 loss=0.6904
[train:safeobj_no_stress:H5] epoch=4/8 step=950/1086 loss=0.7030
[train:safeobj_no_stress:H5] epoch=4/8 step=975/1086 loss=0.6839
[train:safeobj_no_stress:H5] epoch=4/8 step=1000/1086 loss=0.7211
[train:safeobj_no_stress:H5] epoch=4/8 step=1025/1086 loss=0.6934
[train:safeobj_no_stress:H5] epoch=4/8 step=1050/1086 loss=0.6648
[train:safeobj_no_stress:H5] epoch=4/8 step=1075/1086 loss=0.6690
[epoch done:safeobj_no_stress:H5] epoch=4 train=0.6979 val=0.6900 best=0.6900
[train:safeobj_no_stress:H5] epoch=5/8 step=0/1086 loss=0.5929
[train:safeobj_no_stress:H5] epoch=5/8 step=25/1086 loss=0.6807
[train:safeobj_no_stress:H5] epoch=5/8 step=50/1086 loss=0.6672
[train:safeobj_no_stress:H5] epoch=5/8 step=75/1086 loss=0.6310
[train:safeobj_no_stress:H5] epoch=5/8 step=100/1086 loss=0.6638
[train:safeobj_no_stress:H5] epoch=5/8 step=125/1086 loss=0.6710
[train:safeobj_no_stress:H5] epoch=5/8 step=150/1086 loss=0.7129
[train:safeobj_no_stress:H5] epoch=5/8 step=175/1086 loss=0.6831
[train:safeobj_no_stress:H5] epoch=5/8 step=200/1086 loss=0.6867
[train:safeobj_no_stress:H5] epoch=5/8 step=225/1086 loss=0.6545
[train:safeobj_no_stress:H5] epoch=5/8 step=250/1086 loss=0.6665
[train:safeobj_no_stress:H5] epoch=5/8 step=275/1086 loss=0.6851
[train:safeobj_no_stress:H5] epoch=5/8 step=300/1086 loss=0.6869
[train:safeobj_no_stress:H5] epoch=5/8 step=325/1086 loss=0.6669
[train:safeobj_no_stress:H5] epoch=5/8 step=350/1086 loss=0.6516
[train:safeobj_no_stress:H5] epoch=5/8 step=375/1086 loss=0.6585
[train:safeobj_no_stress:H5] epoch=5/8 step=400/1086 loss=0.6556
[train:safeobj_no_stress:H5] epoch=5/8 step=425/1086 loss=0.6567
[train:safeobj_no_stress:H5] epoch=5/8 step=450/1086 loss=0.6838
[train:safeobj_no_stress:H5] epoch=5/8 step=475/1086 loss=0.6960
[train:safeobj_no_stress:H5] epoch=5/8 step=500/1086 loss=0.6803
[train:safeobj_no_stress:H5] epoch=5/8 step=525/1086 loss=0.6735
[train:safeobj_no_stress:H5] epoch=5/8 step=550/1086 loss=0.6845
[train:safeobj_no_stress:H5] epoch=5/8 step=575/1086 loss=0.6633
[train:safeobj_no_stress:H5] epoch=5/8 step=600/1086 loss=0.6474
[train:safeobj_no_stress:H5] epoch=5/8 step=625/1086 loss=0.6613
[train:safeobj_no_stress:H5] epoch=5/8 step=650/1086 loss=0.6636
[train:safeobj_no_stress:H5] epoch=5/8 step=675/1086 loss=0.6964
[train:safeobj_no_stress:H5] epoch=5/8 step=700/1086 loss=0.6447
[train:safeobj_no_stress:H5] epoch=5/8 step=725/1086 loss=0.6672
[train:safeobj_no_stress:H5] epoch=5/8 step=750/1086 loss=0.6766
[train:safeobj_no_stress:H5] epoch=5/8 step=775/1086 loss=0.6762
[train:safeobj_no_stress:H5] epoch=5/8 step=800/1086 loss=0.6854
[train:safeobj_no_stress:H5] epoch=5/8 step=825/1086 loss=0.6302
[train:safeobj_no_stress:H5] epoch=5/8 step=850/1086 loss=0.7079
[train:safeobj_no_stress:H5] epoch=5/8 step=875/1086 loss=0.6682
[train:safeobj_no_stress:H5] epoch=5/8 step=900/1086 loss=0.6365
[train:safeobj_no_stress:H5] epoch=5/8 step=925/1086 loss=0.6548
[train:safeobj_no_stress:H5] epoch=5/8 step=950/1086 loss=0.6583
[train:safeobj_no_stress:H5] epoch=5/8 step=975/1086 loss=0.6625
[train:safeobj_no_stress:H5] epoch=5/8 step=1000/1086 loss=0.6762
[train:safeobj_no_stress:H5] epoch=5/8 step=1025/1086 loss=0.6559
[train:safeobj_no_stress:H5] epoch=5/8 step=1050/1086 loss=0.6619
[train:safeobj_no_stress:H5] epoch=5/8 step=1075/1086 loss=0.6817
[epoch done:safeobj_no_stress:H5] epoch=5 train=0.6690 val=0.6802 best=0.6802
[train:safeobj_no_stress:H5] epoch=6/8 step=0/1086 loss=0.6006
[train:safeobj_no_stress:H5] epoch=6/8 step=25/1086 loss=0.6231
[train:safeobj_no_stress:H5] epoch=6/8 step=50/1086 loss=0.6573
[train:safeobj_no_stress:H5] epoch=6/8 step=75/1086 loss=0.6592
[train:safeobj_no_stress:H5] epoch=6/8 step=100/1086 loss=0.6484
[train:safeobj_no_stress:H5] epoch=6/8 step=125/1086 loss=0.6168
[train:safeobj_no_stress:H5] epoch=6/8 step=150/1086 loss=0.6512
[train:safeobj_no_stress:H5] epoch=6/8 step=175/1086 loss=0.6524
[train:safeobj_no_stress:H5] epoch=6/8 step=200/1086 loss=0.6799
[train:safeobj_no_stress:H5] epoch=6/8 step=225/1086 loss=0.6770
[train:safeobj_no_stress:H5] epoch=6/8 step=250/1086 loss=0.6963
[train:safeobj_no_stress:H5] epoch=6/8 step=275/1086 loss=0.6457
[train:safeobj_no_stress:H5] epoch=6/8 step=300/1086 loss=0.6661
[train:safeobj_no_stress:H5] epoch=6/8 step=325/1086 loss=0.6496
[train:safeobj_no_stress:H5] epoch=6/8 step=350/1086 loss=0.6686
[train:safeobj_no_stress:H5] epoch=6/8 step=375/1086 loss=0.6364
[train:safeobj_no_stress:H5] epoch=6/8 step=400/1086 loss=0.6184
[train:safeobj_no_stress:H5] epoch=6/8 step=425/1086 loss=0.6230
[train:safeobj_no_stress:H5] epoch=6/8 step=450/1086 loss=0.6495
[train:safeobj_no_stress:H5] epoch=6/8 step=475/1086 loss=0.6420
[train:safeobj_no_stress:H5] epoch=6/8 step=500/1086 loss=0.6283
[train:safeobj_no_stress:H5] epoch=6/8 step=525/1086 loss=0.6189
[train:safeobj_no_stress:H5] epoch=6/8 step=550/1086 loss=0.6540
[train:safeobj_no_stress:H5] epoch=6/8 step=575/1086 loss=0.6293
[train:safeobj_no_stress:H5] epoch=6/8 step=600/1086 loss=0.6614
[train:safeobj_no_stress:H5] epoch=6/8 step=625/1086 loss=0.6603
[train:safeobj_no_stress:H5] epoch=6/8 step=650/1086 loss=0.6556
[train:safeobj_no_stress:H5] epoch=6/8 step=675/1086 loss=0.6717
